% 1. Title: Kern Music Score Database Training Set
   % 
   % 2. Sources:
   %      (a) Creator: Tom Richmond
   %      (b) Source: Kern Database
   %      (b) Date: November, 2017
   % 
   @RELATION kern

   @ATTRIBUTE freqStep  NUMERIC
   @ATTRIBUTE freqTwos   NUMERIC
   @ATTRIBUTE freqThirds  NUMERIC
   @ATTRIBUTE freqFourths   NUMERIC
   @ATTRIBUTE freqFifths  NUMERIC
   @ATTRIBUTE freqSixths   NUMERIC
   @ATTRIBUTE freqSevenths  NUMERIC
   @ATTRIBUTE freqOctaves   NUMERIC
   @ATTRIBUTE range		NUMERIC
   @ATTRIBUTE class        {Medieval, Renaissance, Baroque, Classical, Romantic, Modern}

   @data

.06145833333333333333,.62395833333333333333,.15208333333333333333,.05520833333333333333,.05416666666666666666,.00833333333333333333,.00729166666666666666,0,15,Medieval
.12000000000000000000,.51000000000000000000,.08500000000000000000,.02000000000000000000,.01000000000000000000,0,0,.01000000000000000000,11,Medieval
.14335664335664335664,.54195804195804195804,.09615384615384615384,.01923076923076923076,.01923076923076923076,.00174825174825174825,0,.00524475524475524475,11,Medieval
.19640718562874251497,.54011976047904191616,.13293413173652694610,.04431137724550898203,.03832335329341317365,.00359281437125748502,.00359281437125748502,0,13,Medieval
.04790419161676646706,.53892215568862275449,.15568862275449101796,.04191616766467065868,.03592814371257485029,.01796407185628742514,0,0,13,Medieval
.11092436974789915966,.62521008403361344537,.09747899159663865546,.04873949579831932773,.04201680672268907563,0,0,0,13,Medieval
.12195121951219512195,.41463414634146341463,.09756097560975609756,.03658536585365853658,0,0,0,.01219512195121951219,10,Medieval
.05050505050505050505,.39393939393939393939,.03030303030303030303,.01010101010101010101,0,0,0,.03030303030303030303,10,Medieval
.36467236467236467236,.39601139601139601139,.11680911680911680911,.03703703703703703703,.01139601139601139601,.00569800569800569800,0,0,12,Medieval
.26190476190476190476,.40986394557823129251,.21343537414965986394,.05782312925170068027,.02295918367346938775,.00340136054421768707,.00340136054421768707,0,14,Medieval
.11167002012072434607,.63480885311871227364,.09657947686116700201,.06639839034205231388,.04225352112676056338,.00301810865191146881,.00503018108651911468,.01509054325955734406,15,Renaissance
.23514211886304909560,.41085271317829457364,.14470284237726098191,.09043927648578811369,.04134366925064599483,.00258397932816537467,0,0,21,Renaissance
.22157434402332361516,.50145772594752186588,.10787172011661807580,.05976676384839650145,.05685131195335276967,.00728862973760932944,0,.00874635568513119533,20,Renaissance
.18280683583635422061,.56343863283272915587,.10305541170378042465,.05696530295183842568,.05541170378042465044,.00155359917141377524,0,.00983946141895390989,20,Renaissance
.26079447322970639032,.46113989637305699481,.07772020725388601036,.06735751295336787564,.03799654576856649395,.00518134715025906735,0,.00345423143350604490,19,Renaissance
.27763157894736842105,.45000000000000000000,.07894736842105263157,.06973684210526315789,.05000000000000000000,0,0,.00921052631578947368,19,Renaissance
.28993536472760849492,.39335180055401662049,.10064635272391505078,.06186518928901200369,.06832871652816251154,.01015697137580794090,.00092336103416435826,.02400738688827331486,20,Renaissance
.36890243902439024390,.30081300813008130081,.09349593495934959349,.08333333333333333333,.09247967479674796747,0,0,.00406504065040650406,19,Renaissance
.44838373305526590198,.25755995828988529718,.05630865484880083420,.09071949947862356621,.08029197080291970802,.00729927007299270072,0,.00521376433785192909,21,Renaissance
.50762527233115468409,.25272331154684095860,.05010893246187363834,.07189542483660130718,.03050108932461873638,0,.00217864923747276688,0,22,Renaissance
.16140350877192982456,.57543859649122807017,.09122807017543859649,.03859649122807017543,.03859649122807017543,0,0,.00701754385964912280,19,Renaissance
.14705882352941176470,.10294117647058823529,.13235294117647058823,.05882352941176470588,.02941176470588235294,.04411764705882352941,0,0,8,Renaissance
.25414781297134238310,.46455505279034690799,.14027149321266968325,.06334841628959276018,.04826546003016591251,0,0,.00678733031674208144,20,Renaissance
.29229229229229229229,.49049049049049049049,.07907907907907907907,.06806806806806806806,.03903903903903903903,0,0,.00200200200200200200,20,Renaissance
.19518716577540106951,.45989304812834224598,.14973262032085561497,.06149732620320855614,.03475935828877005347,.00267379679144385026,0,.01069518716577540106,11,Renaissance
.31326281529698942229,.32058584214808787632,.11065907241659886086,.12937347436940602115,.07078925956061838893,.00325467860048820179,.00162733930024410089,.01057770545158665581,21,Renaissance
.19332566168009205983,.53624856156501726121,.09896432681242807825,.05178365937859608745,.05063291139240506329,.00230149597238204833,0,.01495972382048331415,21,Renaissance
.20280474649406688241,.53937432578209277238,.10032362459546925566,.08683926645091693635,.03721682847896440129,.00431499460625674217,.00053937432578209277,.01564185544768069039,20,Renaissance
.37463126843657817109,.36381514257620452310,.12684365781710914454,.04326450344149459193,.03736479842674532940,.00294985250737463126,0,.00786627335299901671,21,Renaissance
.21169916434540389972,.50974930362116991643,.13091922005571030640,.06685236768802228412,.02785515320334261838,.00139275766016713091,0,.00696378830083565459,18,Renaissance
.13832199546485260770,.56689342403628117913,.09297052154195011337,.06575963718820861678,.02267573696145124716,.00226757369614512471,0,.00453514739229024943,19,Renaissance
.38775510204081632653,.23824312333629103815,.11756876663708961845,.12821650399290150842,.07763975155279503105,.00576752440106477373,.00133096716947648624,.02262644188110026619,23,Renaissance
.28282828282828282828,.43813131313131313131,.08838383838383838383,.07323232323232323232,.06439393939393939393,.00126262626262626262,.00126262626262626262,.00505050505050505050,23,Renaissance
.14358974358974358974,.53076923076923076923,.09230769230769230769,.06923076923076923076,.06153846153846153846,.00256410256410256410,0,.02564102564102564102,23,Renaissance
